Gene,log2FoldChange,pvalue,padj
ITGA1,4.01593756041324,3.87660779474086e-29,1.75212806449005e-28
PDGFD,4.01414958173941,1.435832796347e-18,3.4836404943522e-18
IGHV4-59,4.01278209300226,2.954340303844e-07,4.0984757306054e-07
ACRV1,4.01190343024173,5.65789899648555e-09,8.50108505773457e-09
IGKV1D-22,4.01169881138862,0.000102300178572356,0.000126416290490619
F2RL3,4.01142129905078,1.5329385140464e-19,3.92396450395998e-19
LCN12,4.01116585862319,1.67961716236747e-13,3.14504573367863e-13
IFNG,4.01067062299594,3.02767103650153e-13,5.60656638408701e-13
HMBS,4.00904032598925,3.70227793988772e-28,1.57421316490458e-27
MTHFD1L,4.00722872168635,1.26889290046122e-35,8.92165960491523e-35
GPRASP2,4.00685110164067,7.18643163411369e-23,2.21197785887309e-22
MXI1,4.00529861074142,4.24224547307289e-31,2.1810456448908e-30
KCNMB2,4.00445777244172,1.51129665294621e-20,4.07196211709977e-20
HRK,4.00123942221028,7.05921798262225e-21,1.93850905971742e-20
KCNJ14,4.00024974390798,1.27638556413856e-26,4.90758100164584e-26
CCDC142,3.9981119804413,2.28997094467956e-36,1.68304286233834e-35
IGKV1D-8,3.99413676927258,2.32092692164283e-06,3.09151787875106e-06
CLSPN,3.99365265694928,2.83154310001427e-20,7.50258770461659e-20
DNAH14,3.99050638058326,1.5344895864037e-42,1.77795387904964e-41
FHDC1,3.9891672900167,3.92932383329857e-47,6.42444446744317e-46
IGHV3-54,3.98816877641645,0.000119467582419329,0.000147145262789704
CASKIN2,3.98451094985187,8.63476047976538e-30,4.07618470769126e-29
IGHV7-27,3.98342289372964,4.09912663848444e-05,5.15418138912463e-05
HGD,3.98179254386773,2.11675374624487e-20,5.65300024972655e-20
MBD3L1,3.97966631600344,7.87822922114588e-07,1.07369277708935e-06
FKBP1B,3.9794483184789,9.03537369147248e-20,2.33958940947743e-19
ARSJ,3.97793250367562,4.45925341134589e-31,2.28975771503331e-30
IGKV2D-38,3.97584251032909,0.000534127657053641,0.00064011424450041
NHLH1,3.97475214199318,3.81428089281026e-13,7.02404582754841e-13
MARK4,3.9744107647379,4.13712693067236e-44,5.42168905208532e-43
DAGLA,3.97351735644571,1.8614953027404e-40,1.85438417464967e-39
LGALS9C,3.97245415217777,6.86164061295402e-36,4.90481118207723e-35
IGHV3-20,3.97208680196479,1.52374536858353e-06,2.04672871736254e-06
FCHO1,3.97155871830883,2.12064278343537e-20,5.6626522335129e-20
CCL3L3,3.97128400544767,4.76395015304354e-16,1.01543856288515e-15
IGLVVI-22-1,3.97093427989805,0.000100615773024088,0.00012437957036119
CD40LG,3.97005697950698,1.68839351086558e-12,3.01121935047544e-12
FKBP6,3.96884196075874,4.18281939178481e-21,1.16462038505418e-20
CNIH2,3.96829106821051,1.64617289647869e-18,3.98364945851727e-18
